comment_url,post_url,comment_id,post_routing_id,author_name,comment_text,timestamp,likes_count,comments_count
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3587069111596569,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODcwNjkxMTE1OTY1Njk=,PR_1f9551b885ec,Unknown,Dream collection,2025-05-24T19:25:07.000Z,2,0
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586980381605442,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5ODAzODE2MDU0NDI=,PR_1f9551b885ec,Unknown,প্রাইম ব্যাংক এর টা খোলা বাকি 🫠,2025-05-24T17:03:30.000Z,6,0
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586954041608076,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NTQwNDE2MDgwNzY=,PR_1f9551b885ec,Unknown,SIBL instant card diye dey,2025-05-24T16:27:28.000Z,3,2
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586954564941357,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NTQ1NjQ5NDEzNTc=,PR_1f9551b885ec,Unknown,Sibl er card pelam🤡,2025-05-24T16:28:02.000Z,3,3
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586955248274622,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NTUyNDgyNzQ2MjI=,PR_1f9551b885ec,Unknown,How's nrbc?,2025-05-24T16:28:58.000Z,0,4
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586953488274798,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NTM0ODgyNzQ3OTg=,PR_1f9551b885ec,Unknown,experience with dhaka bank?,2025-05-24T16:26:41.000Z,0,6
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586956018274545,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NTYwMTgyNzQ1NDU=,PR_1f9551b885ec,Unknown,Which one is the best for you & why?,2025-05-24T16:30:10.000Z,0,1
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586954558274691,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NTQ1NTgyNzQ2OTE=,PR_1f9551b885ec,Unknown,Which one is the best for students based on your experience?,2025-05-24T16:28:01.000Z,0,4
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3587046144932199,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODcwNDYxNDQ5MzIxOTk=,PR_1f9551b885ec,Unknown,Onk doirjo apnr🖤,2025-05-24T18:46:54.000Z,3,0
https://www.facebook.com/groups/bcub.bd/posts/3586941684942645/?comment_id=3586963544940459,https://www.facebook.com/share/p/1B7V11a33P/,Y29tbWVudDozNTg2OTQxNjg0OTQyNjQ1XzM1ODY5NjM1NDQ5NDA0NTk=,PR_1f9551b885ec,Unknown,Which One's best,2025-05-24T16:40:15.000Z,0,2
